Day,Order,Target,Location,Fold Change,StDev
21,1,Cathelicidin 4,Duodenum,-6.725361277,0.252361561
21,2,Cathelicidin 4,Prox Jejunum,-7.665833455,0.018646414
21,3,Cathelicidin 4,Mid Jejunum,-10.48202829,0.000143363
21,4,Cathelicidin 4,Dist Jejunum,-10.95071191,0.00059635
21,5,Cathelicidin 4,Ileum,-4.855205209,0.019956055
21,6,Cathelicidin 4,Colon,-8.183897425,0.001340718
1,1,Mucin 2,Duodenum,-1.761640252,0.147553407
1,2,Mucin 2,Prox Jejunum,-2.997979886,0.060671775
1,3,Mucin 2,Mid Jejunum,-9.021447347,0.001270978
1,4,Mucin 2,Dist Jejunum,-2.465374754,0.054763914
1,5,Mucin 2,Ileum,-2.374472544,0.084993768
1,6,Mucin 2,Colon,2.241521163,1.215886703
3,1,Mucin 2,Duodenum,-1.728936201,0.118532101
3,2,Mucin 2,Prox Jejunum,-2.452141522,0.07704162
3,3,Mucin 2,Mid Jejunum,-2.777639518,0.032418116
3,4,Mucin 2,Dist Jejunum,-3.110583974,0.063906083
3,5,Mucin 2,Ileum,-3.549967674,0.088789791
3,6,Mucin 2,Colon,1.036252978,0.569125797
7,1,Mucin 2,Duodenum,-0.599612939,0.021573686
7,2,Mucin 2,Prox Jejunum,-2.096671549,0.026958329
7,3,Mucin 2,Mid Jejunum,-2.596706909,0.043207301
7,4,Mucin 2,Dist Jejunum,-1.605860877,0.107333078
7,5,Mucin 2,Ileum,-1.696247681,0.141442984
7,6,Mucin 2,Colon,1.891909951,0.613375688
21,1,Mucin 2,Duodenum,1.615621934,0.721085404
21,2,Mucin 2,Prox Jejunum,-1.299467587,0.045382027
21,3,Mucin 2,Mid Jejunum,-1.696925651,0.017037084
21,4,Mucin 2,Dist Jejunum,-0.673579768,0.054994918
21,5,Mucin 2,Ileum,-3.141653277,0.03480773
21,6,Mucin 2,Colon,2.696914956,0.883166427
1,1,KLF4,Duodenum,0.021519,0.333536878
1,2,KLF4,Prox Jejunum,-1.536053287,0.039760026
1,3,KLF4,Mid Jejunum,-3.462762441,0.008964595
1,4,KLF4,Dist Jejunum,0.475736362,0.514594516
1,5,KLF4,Ileum,-0.303857899,0.033428967
1,6,KLF4,Colon,2.129323819,0.23940667
